"geoid","fuelheat","housingvalue","kitchen","mortgage","mortgagecost","mortgageval","occupy","occupyown","phone","plumbing","rentgross","rentprcinc","rooms","units","unitsownpop"
"05000US38077",76.61,"124300","96.91",50.85,"73.69","57.43",87.66,71.54,"98.18","97.32","622",37.8,6,1.95784023668639,77.58
"05000US38079",73.72,"81400","98.22",20.26,"40.78","22.83",83.22,70.76,"98.1","97.18","407",30.8,5.1,1.25592927986201,73.11
"05000US38081",64.83,"105400","97.01",37.36,"60.36","42.27",87,72.25,"98.85","95.49","699",45.1,5.8,1.9340239912759,76.53
"05000US38083",46.88,"83400","93.97",28.08,"52.71","34.84",79.93,80.12,"100","94.66","445",51.5,6,1.99129172714078,82.7
"05000US38085",12.25,"83000","97.41",27.69,"55.41","56.74",82.04,45.23,"95.14","95.71","455",28.2,5.2,1.21891891891892,39.9
"05000US38087",50.75,"89500","87.96",24.63,"53.39","58.25",70.75,81.46,"99.39","86.67","623",50.8,6.1,1.9483282674772,84.38
"05000US38089",88.04,"238100","99.29",56.35,"80.31","53.51",84.25,62.25,"97.93","99.2","929",33.9,5.6,1.93736625514403,66.97
"05000US38091",56.68,"78300","97.37",34.4,"50.18","29.18",73.33,84.51,"99.1","97.61","563",50.5,6.7,1.98765432098765,85.13
"05000US38093",83.42,"146100","98.06",50.9,"74.64","57.06",88.6,64.26,"99.18","98.44","685",40.2,5.8,1.95317504141358,70.06
"05000US38095",77.5,"74100","96.83",24.12,"44.3","30.81",74.75,76.45,"96.81","97.19","523",47.8,6.1,1.9507722007722,79.05
"05000US38097",60.1,"139400","99.14",49.25,"69.81","50.93",87.1,72.02,"98.57","99.19","598",41.3,6.2,1.97670946551209,77.18
"05000US38099",77.2,"85600","97.21",36.61,"58.48","38.64",86.52,76.35,"98.66","97.19","660",44.4,6,1.96426358190457,79.9
"05000US38101",90.04,"209400","98.59",60.44,"82.1","63.68",84.1,60.11,"98.36","97.58","1015",31.4,5.3,1.92316064431868,64.28
"05000US38103",47.46,"97900","98.58",33.03,"56.86","40.61",79.32,79.69,"98.88","98.46","621",52.1,6.1,2,85.54
"05000US38105",90.39,"256000","99.23",52.76,"79.83","58.88",73.13,53.31,"98.08","98.09","909",31.5,4.9,1.885140562249,60.81
"05000US39001",73.18,"100200","93.81",52.25,"76.78","56.49",83.86,69.2,"95.71","94.58","595",42,5.7,1.97664974619289,69.6
"05000US39003",88.31,"113500","93.4",58.88,"78.83","62.62",89.96,66.49,"97.38","96.09","687",39,6,1.85820361644917,67.7
"05000US39005",76.68,"124900","95.44",60.37,"79.93","62.76",91.86,72.09,"96.87","96.01","730",40.3,5.9,1.98038064484564,72.77
"05000US39007",85.88,"108300","93.05",56.94,"78.45","63.51",81.66,70.07,"97.27","94.5","679",42.4,5.8,1.95368107935833,71.95
"05000US39009",86.16,"122000","94.5",51.1,"74.91","57.39",85.01,56.14,"94.96","92.42","764",28.9,5.4,1.92763041556145,57.66
"05000US39011",76.95,"143800","97.48",60.98,"81.69","64.93",94.31,76.5,"98.63","98.06","688",41.3,6.1,1.97799497943706,78.97
"05000US39013",86.14,"98500","92.35",46.84,"69.66","48.85",81.34,76.42,"97.65","94.58","633",44.5,5.8,1.96335877862595,79.87
"05000US39015",78.95,"124500","97.27",61,"80.95","64.56",86.96,73.9,"97.45","97.81","685",41.8,5.9,1.97550762877137,76.12
"05000US39017",95,"165900","97.64",69.7,"86.52","72.77",91.42,68.34,"98.47","98.57","863",36.5,6,1.88032642194667,70.41
"05000US39019",71.73,"123900","96.17",56.68,"78.45","62.02",81.53,77.46,"98.79","96.35","694",45.3,6,1.98552939061657,79.35
"05000US39021",70.61,"126200","94.8",61.02,"80.11","58.92",90.57,72.61,"98.61","95.49","698",42.4,5.9,1.97074100861332,71.86
"05000US39023",93.25,"111600","94.88",59.33,"79.38","60.36",89.55,64.98,"98.19","96","731",41.1,5.7,1.89039249612968,65.04
"05000US39025",90.74,"164200","98.18",69.18,"86.44","72.89",93.18,74.27,"98.7","99.02","832",39.8,6.2,1.9618818102901,76.53
"05000US39027",80.14,"125300","96.77",64.53,"82.51","64.22",90.05,65.5,"97.98","98.64","717",39.9,5.7,1.96536346976176,68.1
"05000US39029",86.03,"106700","95.5",53.76,"74.83","54.91",89.4,72.89,"98.33","97.18","650",44,5.9,1.97656138003536,74.02
"05000US39031",74.67,"100000","95.36",51.91,"74.66","54.67",87.88,73.31,"96.82","97.39","612",41.4,5.9,1.97351497130212,75.23
"05000US39033",83.31,"87200","95.02",51.25,"72.92","54.77",88.54,69.99,"97.69","96.09","648",43,6,1.98158265277387,71.17
"05000US39035",97.39,"128000","93.81",61.56,"79.76","63.78",87.03,58.45,"97.85","95.92","790",40.3,5.7,1.66458755391983,61.97
"05000US39037",71.92,"114900","94.95",58.31,"79.4","57.17",91.22,72.46,"97.91","97.78","671",41.8,6.1,1.98656300988579,73.41
"05000US39039",77.34,"117700","96.57",60.02,"79.59","63.79",90.52,77.06,"97.94","98.65","695",40.6,6.2,1.9799513573917,78.11
